SYSTEM,PHILOSOPHY,ZONES,MACRO (YEAR),MESO (BLOCK),MICRO (WEEK),TESTING,FEEDBACK LOOPS,EVIDENCE,STRENGTHS,WEAKNESSES,BEST FOR,NOT FOR,PROGRESSION STYLE,LOAD METRIC OF TRUTH,ROLE OF STRENGTH
Traditional (Pyramidal),"Build large aerobic base, then sharpen with intensity","5–7 zones; predominance Z1–2, decreasing Z3–5 (pyramidal TD)",Base → Build → Peak → Taper,Meso typically ~3:1 load:deload or similar,"1–2 high-quality workouts, many long Z2 sessions",FTP / LT tests phase-end; endurance tests,"CTL ramp, HR–power decoupling (HR drift)",Tønnessen 2014; Casado 2022 (systematic review on pyramidal elites),Development of durability / predictable performance,Time-hungry; slower gains in fitness for low-hour athletes,≥10 h/wk + multi-hour sessions,<8 h/wk or many short high-intensity events,Volume → intensity → density (then specificity),CTL + decoupling (HR/power drift),"Strength heavy in base (max/general), maintenance during build/peak"
Polarized (80/20),"Most training easy, small amount very hard, minimal middle zone","3-zone model (below LT1, between LT1–LT2, above LT2); ~80% low, ~20% high",Often year-round 80/20 or slight variation; competition phase may shift,Blocks maintain ~80/20 ratio; meso might include 2 hard sessions/week,~2 hard sessions + many easy sessions; strict hard/easy separation,LT1 & LT2 testing or VO₂/threshold; periodic MAP,"HRV, RHR, interval performance, check easy days remain easy (Z1 purity)",Støggl & Sperlich 2014 (polarized vs others in well-trained athletes),"Big gains in tolerance, recovery-friendly, elite proven distribution",Low specificity at threshold; discipline required to keep easy truly easy,8–15 h/wk (or more),<5 h/wk (too little volume) or pure sprint/TT specialists,Increment intensity/hard work while keeping volume/ratio stable,Percentage of time in Zone1 + power/HR in interval workouts,Strength integrated year-round; heavy + explosive emphasized
Sweet Spot / Threshold,Emphasise sub-threshold intervals to maximise FTP / threshold power,Zones emphasised around Z3–4 (~88–95% FTP),Compressed base (higher intensity early) → Build → Peak,Blocks focus on increasing SST/TH time (2–3 sessions/week),Weekly: 2–3 SST/TH sessions + filler easy rides,FTP test every ~4–6 weeks (or LT test),"ATL/CTL, monotony index, power at threshold or RPE change",Yetton 2021 coaching literature; common applied practice data,"Time-efficient, strong FTP gains","Risk of monotony, less low-intensity volume, burnout possibility",6–10 h/wk (moderate hours),Ultra-endurance or athletes needing large volume base,"Increase density: more minutes at SST/TH, more sessions per week",TSS/hr + FTP increases,Strength optional but beneficial; short efficient max strength sessions
HIIT-Focused,"Frequent maximal intervals, minimal volume – leverage stimulus of high intensity","Dominant Z5–Z7 (VO₂max, anaerobic capacity) with very low Z1–2 volume",Often short macro; many use HIIT blocks rather than full-year model,Meso often short (2–4 weeks intense) followed by recovery or maintenance phases,"Weekly: 3–4 interval sessions, very limited long easy sessions",VO₂max/MAP tests pre/post block,"HRV, power changes in intervals, time-to-exhaustion",Hickson 1981 classic HIIT; summarized in modern reviews,"Fast gains, power-focused, efficient for low volume","Burnout risk, poor endurance/durability for long durations",<6 h/wk with focus on short events,Long steady endurance events (Ironman/ultra) or novices,Increase intensity / more intervals rather than more volume,"MAP / VO₂max, W′ improvements",Strength crucial (max + power) to compensate volume shortfall
Block Periodization,"Target one capacity intensely per block, then shift focus","Zone emphasis dependent on block (e.g. VO₂max, threshold, volume)","Macro = sequence of blocks (accumulation, transmutation, realization)",Mesocycles = short blocks (often 2–6 weeks) of focused overload → consolidation,Weekly in block: heavy load for focus zone (3–4 sessions) + maintenance elsewhere,"Tests at end of each block (VO₂max, threshold, sprint power)","Block response: KPI improvement, fatigue/recovery monitoring",Rønnestad et al. 2014 block vs traditional cyclists (superior improvement),"Rapid limiter fixes, high specificity, tailored overload","Risk of mis-timing, complexity, muscle-capacity trade-offs",Advanced athletes with coaching/monitoring resources,"Beginners, monitoring-averse, many small races annually",Overload → consolidation → next block (stair-step),"Block-specific KPI (VO₂, threshold, sprint)",Strength as separate block: heavy/explosive in off-season; maintenance otherwise
Reverse Periodization,"Emphasise intensity early, then shift to volume/endurance later","Early focus on Z4–Z5/VO₂ zones, then later more Z2 volume",Winter/early season high intensity → Spring/summer higher volume endurance → taper,"Initial HIT block, then endurance block, then specificity",Early weeks high intensity; later weeks more long Z2 rides,FTP/MAP test early; decoupling/endurance tests later,"Monitor early stress, later endurance metrics like decoupling",González-Ravé 2022 and related periodization work,Winter-friendly for athletes with limited volume early,Risk of endurance deficit if volume too late; less evidence across all sports,Athletes constrained in winter or short lead-in,Ultra/long steady events needing big base early,Intensity early → volume later,"Early MAP/FTP, later decoupling",Strength emphasised early season (max strength) then maintenance
Autoregulated (HRV-Based),Use daily readiness (HRV/RHR/RPE) to adjust intensity/volume,Zones flexible; any zone may appear depending on readiness,Macro/focus durations flexible (phase lengths adapt to athlete),Meso blocks flexible length; micro adjusts based on readiness,Weekly: hard/easy days assigned by readiness rather than fixed,"Tests on “green days”, interval performance trends","HRV, RHR, mood, readiness → adjust load; CTL ramp monitored",Kiviniemi 2010 HRV research in endurance athletes (small n),"Low overreach risk, highly individualised",Risk of undertraining if conservative; requires daily monitoring,"Stress-variable athletes, masters, job/family constraints","Rigid, time-driven plans; novices needing structure","Progression guided by readiness: more load when green, less when red",HRV trend + RPE + performance indicators,"Strength also autoregulated: heavy when green, mobility/recovery when red"
MAF / Low-HR (LT1),Build aerobic engine by staying under LT1 (or MAF HR cap),Single zone (LT1 cap) for most sessions; minimal higher zones until base built,Long base (8–16+ weeks) of LT1 rides; later progression into other zones,Duration increases while HR cap maintained; often 4–6 week blocks,Many long rides at HR cap + occasional strides; few quality sessions,MAF test (e.g. 30-min HR test) every 3–4 weeks for drift,"Monitor HR drift, pace/HR decoupling",Maffetone case data; field studies on fat oxidation and efficiency,"Improves fat-oxidation, durability, low injury risk",Slow high-end improvement; may lack high intensity adaptations,"Long events, rebuild phases",Athletes needing quick gains in high-end power,Duration ↑ while HR cap constant,Decoupling (HR drift) + pace at HR cap,"Strength foundational: general + mobility + durability, low neural demand"
Critical Power / W′,Structure training around CP and anaerobic work capacity (W′),"Zones built around CP/W′ model: work above CP uses W′, ≤CP targets endurance",Macro shaped around CP/W′ trends (raise CP and maintain W′),>CP sessions progressively increased; block lengths moderate,"Weekly: mix 1–3 sessions above CP, supporting endurance below CP","CP tests (3-min, 5-min, 12-min etc) every ~4–8 weeks",Monitor W′ balance (deplete/recharge rate) + CP trend,Jones 2010; Vanhatalo 2011 foundational CP/W′ research,"High precision, great for surge repeatability events",Complex to monitor; can neglect durability & long steady endurance,"Events with repeated surges (crit, CX, some road)",Pure ultra steady endurance with minimal surges,>CP work ↑; W′ recharge capacity ↑ before raising CP,W′ balance + CP trend + session >CP workload,Strength focus on anaerobic power: heavy + explosive; sprint-oriented
INSCYD / Metabolic Profiling,Sculpt VO₂max/VLamax profile to match event demands,"Zones derived from VO₂max, VT1/VT2, VLamax metrics rather than FTP only",Macro phases target shifts in VO₂max and/or reduction in VLamax to “fit” event,"Blocks: one for VO₂max ↑, another for VLamax ↓; then specificity",Targeted metabolic sessions + supporting endurance sessions,"Metabolic profiling tests (VO₂max, VLamax, fatmax) pre/post blocks","Monitor VO₂max, VLamax, metabolic cost, fuel usage",INSCYD case-series; early peer-reviewed applications,High specificity to event metabolic demands,"Testing burden high, complexity sophisticated","Athletes needing fine metabolic tuning (triathlon, elite road)",Simple recreational riders without lab access,"Progress by marker: VO₂max ↑ or VLamax ↓, then event integration","VO₂max, VLamax, glycolytic rate, fatmax metrics",Strength tailored: low VLamax → heavy strength; high VLamax → explosive work
Double-Threshold (Norwegian Model),Two threshold sessions per day aimed at raising LT1/LT2 power while controlling lactate,Lactate-capped Z4 (around threshold) dominates; some Z2/Z3 for volume,"High-volume threshold blocks, then taper to peak",Daily doubles of threshold sessions followed by easy volume weeks,Weekly: 2 threshold sessions/day + easy endurance rides,Frequent lactate tests (cap session lactate below set mmol/L),"Monitor lactate/RPE stability, threshold drift",Norwegian elite endurance literature; Sandbakk et al. best-practice summaries,"High repeatability, controlled load improvements in threshold power","Very high recovery demand, risk of overuse/injury",Elite athletes with full support team,Athletes without strong recovery resources or dense race calendars,Lactate → threshold power ↑ incrementally,Lactate test + threshold power trend,Strength mostly minimal: core/mobility focus; heavy lifting limited
"HVLI / LSD-Centric (High Volume, Low Intensity)",Very large volume of low intensity (Z1–Z2) to build durability and fat-oxidation capacity,Mostly Z1–Z2; minimal higher intensities until later phases,Very long base (many weeks/months) → small intensity phase → race,Volume accumulation blocks (long rides) followed by short intensity or taper blocks,Many long Z2 rides (3–5+ hours) + few or no quality intervals,Economy/decoupling tests periodically (HR drift),"Monitor HRV, mood, power/pace decoupling, long-ride endurance",Historical elite norms; Lydiard-style and pro endurance practice,"Builds extreme durability, fuel efficiency, resilience",Inefficient for low-hour athletes; slow improvements in high-end power,"Athletes with ≥15 h/wk, multiday/endurance events",Time-crunched athletes (<8 h/wk) or short/intense events,Volume ↑ over weeks → then introduce minimal intensity,Weekly volume plus decoupling (HR/power drift),Strength year-round for durability: max strength + mobility
GOAT (Gravel Optimized Adaptive System),"Integrates pyramidal base, polarized weeks, limiter-blocks, SST when needed, autoregulation & signal-triggered testing","Zones adapt: base (pyramidal), quality weeks (polarized) + block-specific zones",Pyramidal year with inserted limiter blocks and polarized micro-cycles,"Targeted blocks (VO₂, TH, durability) inserted into macro; weekly rotation of intensity via polarity",2 hard + 3–4 easy; SST if time-crunched; readiness signals drive some sessions,"Testing triggered by signals/blocks (FTP, CP, LT1, VO₂ depending on block)",HRV/RPE + CTL/TSB + KPI-based swap between blocks,Composite evidence across methods; aligns with multi-pillar endurance best practice,"Highly flexible, durable AND targeted, suitable for most athletes","Requires coaching judgment, monitoring and discipline; complexity may overwhelm",Most athletes who can monitor & adjust but aren’t ultra-specialized,Athletes refusing monitoring/feedback or wanting purely intuitive plan,Block + polarized progression + volume/intensity modulation,Multi-signal load: CTL + HRV + HR drift + power durability + block KPIs,"Strength integrated year-round: max (base), explosive (VO₂ phases), stability (TH/SST), durability (volume blocks)"